api_name,description,input_params,output_params,begin_line_number,end_line_number,line_count,source,return_type,query_type
stock_sse_summary,上海证券交易所-股票数据总貌,[],"[{'name': '项目', 'type': 'object', 'description': '-'}, {'name': '股票', 'type': 'object', 'description': '-'}, {'name': '科创板', 'type': 'object', 'description': '-'}, {'name': '主板', 'type': 'object', 'description': '-'}]",9,58,49,其他,DataFrame,批量查询
stock_szse_summary,深圳证券交易所-市场总貌-证券类别统计,"[{'name': 'date', 'type': 'str', 'description': 'date=""20200619""; 当前交易日的数据需要交易所收盘后统计'}]","[{'name': '证券类别', 'type': 'object', 'description': '-'}, {'name': '数量', 'type': 'int64', 'description': '注意单位: 只'}, {'name': '成交金额', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '总市值', 'type': 'float64', 'description': '-'}, {'name': '流通市值', 'type': 'float64', 'description': '-'}]",59,114,55,未知,DataFrame,批量查询
stock_szse_area_summary,深圳证券交易所-市场总貌-地区交易排序,"[{'name': 'date', 'type': 'str', 'description': 'date=""202203""; 年月'}]","[{'name': '序号', 'type': 'int64', 'description': '-'}, {'name': '地区', 'type': 'object', 'description': '-'}, {'name': '总交易额', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '占市场', 'type': 'float64', 'description': '注意单位: %'}, {'name': '股票交易额', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '基金交易额', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '债券交易额', 'type': 'float64', 'description': '注意单位: 元'}]",115,251,136,未知,DataFrame,批量查询
stock_szse_sector_summary,深圳证券交易所-统计资料-股票行业成交数据,"[{'name': 'symbol', 'type': 'str', 'description': 'symbol=""当月""; choice of {""当月"", ""当年""}'}, {'name': 'date', 'type': 'str', 'description': 'date=""202501""; 年月'}]","[{'name': '项目名称', 'type': 'object', 'description': '-'}, {'name': '项目名称-英文', 'type': 'object', 'description': '-'}, {'name': '交易天数', 'type': 'int64', 'description': '-'}, {'name': '成交金额-人民币元', 'type': 'int64', 'description': ''}, {'name': '成交金额-占总计', 'type': 'float64', 'description': '注意单位: %'}, {'name': '成交股数-股数', 'type': 'int64', 'description': '-'}, {'name': '成交股数-占总计', 'type': 'float64', 'description': '注意单位: %'}, {'name': '成交笔数-笔', 'type': 'int64', 'description': '-'}, {'name': '成交笔数-占总计', 'type': 'float64', 'description': '注意单位: %'}]",252,318,66,其他,DataFrame,单个查询
stock_sse_deal_daily,上海证券交易所-数据-股票数据-成交概况-股票成交概况-每日股票情况,"[{'name': 'date', 'type': 'str', 'description': 'date=""20250221""; 当前交易日的数据需要交易所收盘后统计; 注意仅支持获取在 20211227（包含）之后的数据'}]","[{'name': '单日情况', 'type': 'object', 'description': '包含了网页所有字段'}, {'name': '股票', 'type': 'float64', 'description': '-'}, {'name': '主板A', 'type': 'float64', 'description': '-'}, {'name': '主板B', 'type': 'float64', 'description': '-'}, {'name': '科创板', 'type': 'float64', 'description': '-'}, {'name': '股票回购', 'type': 'float64', 'description': '-'}]",319,368,49,其他,DataFrame,批量查询
stock_individual_info_em,东方财富-个股-股票信息,"[{'name': 'symbol', 'type': 'str', 'description': 'symbol=""603777""; 股票代码'}, {'name': 'timeout', 'type': 'float', 'description': 'timeout=None; 默认不设置超时参数'}]","[{'name': 'item', 'type': 'object', 'description': '-'}, {'name': 'value', 'type': 'object', 'description': '-'}]",369,416,47,东方财富,DataFrame,单个查询
stock_individual_basic_info_xq,雪球财经-个股-公司概况-公司简介,"[{'name': 'symbol', 'type': 'str', 'description': 'symbol=""SH601127""; 股票代码'}, {'name': 'token', 'type': 'str', 'description': 'token=None;'}, {'name': 'timeout', 'type': 'float', 'description': 'timeout=None; 默认不设置超时参数'}]","[{'name': 'item', 'type': 'object', 'description': '-'}, {'name': 'value', 'type': 'object', 'description': '-'}]",417,495,78,雪球,DataFrame,单个查询
stock_bid_ask_em,东方财富-行情报价,"[{'name': 'symbol', 'type': 'str', 'description': 'symbol=""000001""; 股票代码'}]","[{'name': 'item', 'type': 'object', 'description': '-'}, {'name': 'value', 'type': 'float64', 'description': '-'}]",496,573,77,东方财富,DataFrame,单个查询
stock_zh_a_spot_em,东方财富网-沪深京 A 股-实时行情数据,[],"[{'name': '序号', 'type': 'int64', 'description': '-'}, {'name': '代码', 'type': 'object', 'description': '-'}, {'name': '最新价', 'type': 'float64', 'description': '-'}, {'name': '涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '涨跌额', 'type': 'float64', 'description': '-'}, {'name': '成交量', 'type': 'float64', 'description': '注意单位: 手'}, {'name': '成交额', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '振幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '最高', 'type': 'float64', 'description': '-'}, {'name': '最低', 'type': 'float64', 'description': '-'}, {'name': '今开', 'type': 'float64', 'description': '-'}, {'name': '昨收', 'type': 'float64', 'description': '-'}, {'name': '量比', 'type': 'float64', 'description': '-'}, {'name': '换手率', 'type': 'float64', 'description': '注意单位: %'}, {'name': '市盈率-动态', 'type': 'float64', 'description': '-'}, {'name': '市净率', 'type': 'float64', 'description': '-'}, {'name': '总市值', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '流通市值', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '涨速', 'type': 'float64', 'description': '-'}, {'name': '5分钟涨跌', 'type': 'float64', 'description': '注意单位: %'}, {'name': '60日涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '年初至今涨跌幅', 'type': 'float64', 'description': '注意单位: %'}]",574,644,70,东方财富,DataFrame,批量查询
stock_sh_a_spot_em,东方财富网-沪 A 股-实时行情数据,[],"[{'name': '序号', 'type': 'int64', 'description': '-'}, {'name': '代码', 'type': 'object', 'description': '-'}, {'name': '最新价', 'type': 'float64', 'description': '-'}, {'name': '涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '涨跌额', 'type': 'float64', 'description': '-'}, {'name': '成交量', 'type': 'float64', 'description': '注意单位: 手'}, {'name': '成交额', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '振幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '最高', 'type': 'float64', 'description': '-'}, {'name': '最低', 'type': 'float64', 'description': '-'}, {'name': '今开', 'type': 'float64', 'description': '-'}, {'name': '昨收', 'type': 'float64', 'description': '-'}, {'name': '量比', 'type': 'float64', 'description': '-'}, {'name': '换手率', 'type': 'float64', 'description': '注意单位: %'}, {'name': '市盈率-动态', 'type': 'float64', 'description': '-'}, {'name': '市净率', 'type': 'float64', 'description': '-'}, {'name': '总市值', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '流通市值', 'type': 'float64', 'description': '注意单位: 元'}, {'name': '涨速', 'type': 'float64', 'description': '-'}, {'name': '5分钟涨跌', 'type': 'float64', 'description': '注意单位: %'}, {'name': '60日涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '年初至今涨跌幅', 'type': 'float64', 'description': '注意单位: %'}]",645,715,70,东方财富,DataFrame,批量查询
